backend,case,category,iteration,passed,status,exit_code,duration_ms,contained,containment_reason
local,functional_hello,correctness,1,True,ok,0,67.402,True,dev_subprocess_completed
local,deterministic_arithmetic,correctness,1,True,ok,0,40.839,True,dev_subprocess_completed
local,json_serialization,correctness,1,True,ok,0,44.357,True,dev_subprocess_completed
local,stderr_exit_code,correctness,1,True,error,7,53.381,True,dev_subprocess_completed
local,wall_timeout,failure-control,1,True,timeout,,411.084,True,wall_timeout
local,output_truncation,failure-control,1,True,ok,0,45.427,True,dev_subprocess_completed
local,functional_hello,correctness,2,True,ok,0,36.036,True,dev_subprocess_completed
local,deterministic_arithmetic,correctness,2,True,ok,0,66.787,True,dev_subprocess_completed
local,json_serialization,correctness,2,True,ok,0,61.432,True,dev_subprocess_completed
local,stderr_exit_code,correctness,2,True,error,7,38.018,True,dev_subprocess_completed
local,wall_timeout,failure-control,2,True,timeout,,403.875,True,wall_timeout
local,output_truncation,failure-control,2,True,ok,0,52.318,True,dev_subprocess_completed
local,functional_hello,correctness,3,True,ok,0,63.893,True,dev_subprocess_completed
local,deterministic_arithmetic,correctness,3,True,ok,0,38.229,True,dev_subprocess_completed
local,json_serialization,correctness,3,True,ok,0,40.911,True,dev_subprocess_completed
local,stderr_exit_code,correctness,3,True,error,7,41.909,True,dev_subprocess_completed
local,wall_timeout,failure-control,3,True,timeout,,403.73,True,wall_timeout
local,output_truncation,failure-control,3,True,ok,0,49.816,True,dev_subprocess_completed
local,functional_hello,correctness,4,True,ok,0,46.999,True,dev_subprocess_completed
local,deterministic_arithmetic,correctness,4,True,ok,0,43.68,True,dev_subprocess_completed
local,json_serialization,correctness,4,True,ok,0,46.955,True,dev_subprocess_completed
local,stderr_exit_code,correctness,4,True,error,7,41.361,True,dev_subprocess_completed
local,wall_timeout,failure-control,4,True,timeout,,403.812,True,wall_timeout
local,output_truncation,failure-control,4,True,ok,0,47.809,True,dev_subprocess_completed
local,functional_hello,correctness,5,True,ok,0,46.025,True,dev_subprocess_completed
local,deterministic_arithmetic,correctness,5,True,ok,0,44.412,True,dev_subprocess_completed
local,json_serialization,correctness,5,True,ok,0,47.208,True,dev_subprocess_completed
local,stderr_exit_code,correctness,5,True,error,7,44.652,True,dev_subprocess_completed
local,wall_timeout,failure-control,5,True,timeout,,403.798,True,wall_timeout
local,output_truncation,failure-control,5,True,ok,0,43.228,True,dev_subprocess_completed
