backend,case,category,iteration,passed,status,exit_code,duration_ms,contained,containment_reason
local,functional_hello,correctness,1,True,ok,0,22.363,True,dev_subprocess_completed
docker,functional_hello,correctness,1,True,ok,0,298.916,True,container_completed
gvisor,functional_hello,correctness,1,True,ok,0,434.255,True,container_completed
local,deterministic_arithmetic,correctness,1,True,ok,0,27.294,True,dev_subprocess_completed
docker,deterministic_arithmetic,correctness,1,True,ok,0,269.726,True,container_completed
gvisor,deterministic_arithmetic,correctness,1,True,ok,0,472.696,True,container_completed
local,json_serialization,correctness,1,True,ok,0,34.784,True,dev_subprocess_completed
docker,json_serialization,correctness,1,True,ok,0,347.738,True,container_completed
gvisor,json_serialization,correctness,1,True,ok,0,539.309,True,container_completed
local,stderr_exit_code,correctness,1,True,error,7,21.535,True,dev_subprocess_completed
docker,stderr_exit_code,correctness,1,True,error,7,234.128,True,container_completed
gvisor,stderr_exit_code,correctness,1,True,error,7,417.154,True,container_completed
local,wall_timeout,failure-control,1,True,timeout,,401.843,True,wall_timeout
docker,wall_timeout,failure-control,1,True,timeout,,1403.51,True,wall_timeout
gvisor,wall_timeout,failure-control,1,True,timeout,,1403.382,True,wall_timeout
local,output_truncation,failure-control,1,True,ok,0,29.185,True,dev_subprocess_completed
docker,output_truncation,failure-control,1,True,ok,0,441.276,True,container_completed
gvisor,output_truncation,failure-control,1,True,ok,0,793.154,True,container_completed
docker,container_nonroot_uid,containment,1,True,ok,0,456.183,True,container_completed
gvisor,container_nonroot_uid,containment,1,True,ok,0,718.8,True,container_completed
docker,container_readonly_root,containment,1,True,ok,0,462.099,True,container_completed
gvisor,container_readonly_root,containment,1,True,ok,0,735.664,True,container_completed
docker,tmpfs_write_allowed,containment,1,True,ok,0,729.521,True,container_completed
gvisor,tmpfs_write_allowed,containment,1,True,ok,0,1115.933,True,container_completed
docker,network_disabled_probe,containment,1,True,ok,0,554.46,True,container_completed
gvisor,network_disabled_probe,containment,1,True,ok,0,927.686,True,container_completed
local,functional_hello,correctness,2,True,ok,0,29.971,True,dev_subprocess_completed
docker,functional_hello,correctness,2,True,ok,0,429.425,True,container_completed
gvisor,functional_hello,correctness,2,True,ok,0,672.855,True,container_completed
local,deterministic_arithmetic,correctness,2,True,ok,0,33.223,True,dev_subprocess_completed
docker,deterministic_arithmetic,correctness,2,True,ok,0,463.103,True,container_completed
gvisor,deterministic_arithmetic,correctness,2,True,ok,0,706.138,True,container_completed
local,json_serialization,correctness,2,True,ok,0,42.442,True,dev_subprocess_completed
docker,json_serialization,correctness,2,True,ok,0,637.65,True,container_completed
gvisor,json_serialization,correctness,2,True,ok,0,1174.865,True,container_completed
local,stderr_exit_code,correctness,2,True,error,7,47.374,True,dev_subprocess_completed
docker,stderr_exit_code,correctness,2,True,error,7,469.8,True,container_completed
gvisor,stderr_exit_code,correctness,2,True,error,7,701.633,True,container_completed
